id,method,scenario,scenario_title,status,available,init_ms,avg_ms,fps,bg_iou,fg_corruption,bg_miss,flicker,score,sample
2,RVM,jitter_light_compress,抖动光照压缩,完成,True,100.83539999959612,5.413514814908585,184.72287121964519,0.9790687328763875,0.06949778214402667,0.004517587863492223,0.0033885417938002075,96.5578997685205,assets/live_sim_sample_rvm_jitter_light_compress.jpg
3,MOG2,empty_warmup_move,空背景预热后移动,完成,True,1.6844000001583481,3.6615185184827066,273.110731231366,0.9610169323908515,0.00011081010455843001,0.038957410959221186,0.020350450718001137,97.83487458956876,assets/live_sim_sample_mog2_empty_warmup_move.jpg
3,MOG2,person_from_start,开播时人已在画面中,完成,True,0.09440000030735973,3.883825925944014,257.4780690658624,0.8576721881003279,0.21070458687677585,0.09752562294423812,0.03364638588648377,85.54766020609792,assets/live_sim_sample_mog2_person_from_start.jpg
3,MOG2,pause_absorb,人物停住后再移动,完成,True,0.057700000070326496,3.5958153846247742,278.1010405250131,0.9572849428452045,0.0001477043988430967,0.042680982717187274,0.00916702738229371,97.88931222642881,assets/live_sim_sample_mog2_pause_absorb.jpg
3,MOG2,jitter_light_compress,抖动光照压缩,完成,True,0.05329999930836493,4.8068444444248195,208.0366884266126,0.6035919474650004,0.013426215355303504,0.3933681650531854,0.05709555467053396,80.54980900507871,assets/live_sim_sample_mog2_jitter_light_compress.jpg
4,KNN,empty_warmup_move,空背景预热后移动,完成,True,0.09240000053978292,4.256374074109907,234.94175619635126,0.9757129306291004,0.008863154482516811,0.022200432443304673,0.012599221982070977,98.34488703178,assets/live_sim_sample_knn_empty_warmup_move.jpg
4,KNN,person_from_start,开播时人已在画面中,完成,True,0.05110000074637355,4.838598148159724,206.67143031506606,0.831637849769237,0.05907336290474631,0.15510651051456603,0.02693461393643827,89.81744325922078,assets/live_sim_sample_knn_person_from_start.jpg
4,KNN,pause_absorb,人物停住后再移动,完成,True,0.062199999774747994,4.44844487170625,224.79766049487742,0.9737445386163153,0.0097072704914091,0.023975019298597515,0.005737468242239279,98.36400040569009,assets/live_sim_sample_knn_pause_absorb.jpg
4,KNN,jitter_light_compress,抖动光照压缩,完成,True,0.02390000008745119,6.693942592577245,149.3887923551774,0.4902956987147812,0.006073055282665,0.5083886658030571,0.07733046036483447,75.30414029997519,assets/live_sim_sample_knn_jitter_light_compress.jpg
5,GrabCut,empty_warmup_move,空背景预热后移动,完成,True,0.04929999977321131,0.9669851851362586,1034.1420069006426,0.8056076388888889,1.0,0.0,0.0,56.25234375,assets/live_sim_sample_grabcut_empty_warmup_move.jpg
5,GrabCut,person_from_start,开播时人已在画面中,完成,True,0.019699999938893598,12.173168518647461,82.14788109341875,0.8402500469878749,0.30214442360552923,0.09814020645216905,0.006049049327730358,82.11521630170624,assets/live_sim_sample_grabcut_person_from_start.jpg
5,GrabCut,pause_absorb,人物停住后再移动,完成,True,0.013799999578623101,10.280217948711185,97.2742022580726,0.8379519762628445,0.31045289145673177,0.09922822187115445,0.003413318625409759,81.7737213583342,assets/live_sim_sample_grabcut_pause_absorb.jpg
5,GrabCut,jitter_light_compress,抖动光照压缩,完成,True,0.01919999976962572,9.700803703725358,103.08424235158725,0.7563025706853569,0.2141661622326086,0.20461001483780183,0.009188853516798462,81.35402293236379,assets/live_sim_sample_grabcut_jitter_light_compress.jpg
6,LOBSTER,empty_warmup_move,空背景预热后移动,完成,True,0.06089999988034833,41.931570370353356,23.848379423133277,0.9529173927538052,6.6155286303540304e-06,0.04708108750950808,0.02389338770534003,97.40318337631237,assets/live_sim_sample_lobster_empty_warmup_move.jpg
6,LOBSTER,person_from_start,开播时人已在画面中,完成,True,0.07999999979801942,42.58155925922606,23.48434433582495,0.8647554137019654,0.026885508353758778,0.1297836745868123,0.013208666593875986,92.70882749232936,assets/live_sim_sample_lobster_person_from_start.jpg
6,LOBSTER,pause_absorb,人物停住后再移动,完成,True,0.15419999999721767,40.48874615381674,24.698220987160237,0.9527451375936141,3.4349860196069003e-06,0.04725407342695018,0.010745390062122166,97.65850316595952,assets/live_sim_sample_lobster_pause_absorb.jpg
6,LOBSTER,jitter_light_compress,抖动光照压缩,完成,True,0.13550000039685983,41.61376666663138,24.030509134417407,0.32679404608172985,3.969317178212418e-05,0.6731992104597324,0.10647347247595744,67.57487336314632,assets/live_sim_sample_lobster_jitter_light_compress.jpg
7,SuBSENSE,empty_warmup_move,空背景预热后移动,完成,True,0.1654999996389961,43.486781481567085,22.99549347941222,0.9461605665279806,0.2356666302812592,3.751353879578348e-05,8.616722653266219e-06,89.328721099462,assets/live_sim_sample_subsense_empty_warmup_move.jpg
7,SuBSENSE,person_from_start,开播时人已在画面中,完成,True,0.19319999955769163,44.017266666607476,22.718357493074947,0.8323913378625307,0.5597200308283634,0.05548052847796399,0.002144579890335278,72.82451752701446,assets/live_sim_sample_subsense_person_from_start.jpg
7,SuBSENSE,pause_absorb,人物停住后再移动,完成,True,0.16539999978704145,43.2861038461968,23.10210231794428,0.9440949224444845,0.2453232665343052,2.541833888945067e-05,1.2360786638176676e-05,88.89770996556837,assets/live_sim_sample_subsense_pause_absorb.jpg
7,SuBSENSE,jitter_light_compress,抖动光照压缩,完成,True,0.1471999994464568,44.40476111105656,22.520107641137724,0.9397329974919642,0.2635841611013532,0.0005160106985420004,0.0006274629201175225,88.04998999018866,assets/live_sim_sample_subsense_jitter_light_compress.jpg
